,P7,P28,P70
489,34.202,40.467,53.253
490,62.331,19.498,79.528
491,27.617,31.453,15.982
492,62.842,23.845,48.522
493,60.349,2.238,36.376
494,36.503,8.183,43.216
495,30.686,45.645,5.881
496,6.521,17.9,41.682
497,49.609,42.577,81.445
498,36.951,15.087,75.756
499,64.696,0.959,2.621
500,47.947,32.732,66.039
501,9.206,46.221,63.354
502,36.503,33.946,5.306
503,1.406,13.233,1.406
504,3.836,25.316,89.692
505,58.431,37.782,54.979
506,40.403,61.627,9.589
507,29.855,51.079,7.671
508,19.626,49.737,49.097
509,74.861,26.403,43.791
510,0.767,53.445,62.842
511,49.225,60.477,3.388
512,29.535,71.089,66.55
513,43.344,7.671,12.21
514,21.672,65.527,77.482
515,20.074,20.01,68.276
516,23.014,16.046,61.052
517,9.334,14.64,20.585
518,42.193,28.704,2.301
519,3.708,18.412,24.165
520,37.654,25.38,35.161
521,55.043,38.357,4.859
522,41.682,7.032,55.235
523,31.964,32.604,64.952
524,29.471,30.238,80.678
525,50.376,5.498,51.718
526,34.713,4.411,63.29
527,22.631,77.61,61.372
528,22.759,81.126,17.9
529,3.133,49.161,23.909
530,6.585,26.594,3.452
531,1.726,44.047,51.207
532,48.011,62.267,2.365
533,42.129,1.151,64.057
534,66.166,67.637,97.683
535,38.613,58.303,40.978
536,36.376,37.334,45.326
537,4.986,28.64,39.38
538,38.869,59.454,50.951
539,43.024,38.293,34.586
540,30.302,69.171,31.197
541,25.252,63.354,54.915
542,15.343,12.978,13.425
543,48.97,34.266,2.621
544,1.279,36.695,2.238
545,98.898,54.531,79.336
546,85.153,45.773,61.819
547,37.91,50.887,76.011
548,21.544,42.513,17.708
549,25.763,7.096,35.8
550,41.554,37.718,38.293
551,25.124,57.344,75.884
552,67.829,29.791,54.787
553,9.27,53.381,54.595
554,24.613,33.818,82.596
555,40.147,62.267,42.577
556,48.138,12.594,43.983
557,50.504,20.01,58.559
558,51.591,19.434,44.622
559,46.988,33.627,38.421
560,43.727,44.75,39.828
561,32.028,39.572,84.77
562,22.631,42.641,43.536
563,36.887,19.498,5.05
564,29.983,3.516,55.81
565,64.121,29.152,32.412
566,35.544,57.344,58.687
567,3.708,42.513,39.572
568,110.213,46.988,42.321
569,30.494,37.59,72.048
570,26.339,37.718,36.759
571,30.174,4.923,4.219
572,0.959,45.134,60.413
573,140.452,8.758,58.942
574,48.97,14.192,65.399
575,31.069,34.969,45.517
576,43.408,41.298,53.764
577,17.708,22.567,72.943
578,16.046,57.28,6.713
579,14.704,42.832,5.754
580,26.339,35.097,47.499
581,13.617,1.854,78.888
582,24.932,48.458,29.407
583,1.343,24.677,4.667
584,49.865,13.745,34.522
585,53.061,50.568,38.166
586,52.933,63.609,5.881
587,40.467,41.873,22.823
588,24.037,37.846,31.964
589,6.904,6.265,32.54
590,13.233,28.96,36.056
591,1.662,13.297,1.215
592,4.539,62.906,21.416
593,43.791,51.91,51.782
594,65.783,59.582,46.157
595,32.54,77.162,41.682
596,25.635,13.745,96.277
597,35.033,43.088,47.18
598,3.9,55.554,4.091
599,26.978,1.343,58.559
600,53.381,43.472,34.841
601,6.137,53.508,23.462
602,34.586,39.188,25.572
603,21.864,51.782,11.635
604,31.901,5.178,50.951
605,35.033,33.627,36.631
606,33.882,11.379,94.103
607,6.713,14.256,35.033
608,41.17,41.042,6.776
609,25.763,56.705,60.541
610,74.861,46.476,53.125
611,32.987,31.581,68.468
612,26.786,4.283,35.864
613,36.567,22.375,7.863
