 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
358,12.355,42.968,1.619,13.66,41.162,3.788,3.914,3.914,4.266,3.688,118.466,0.832,4.874,42.172,125.379,126.573,3.76,1.157,0.865,0.96,165.356,39.391,130,91,255,42.931,1.651,2043.01,164,128151,50.583,22.102,71,12,105,43.119,1.485,624.967,51,39202,25.175,16.766,8,0,86,43.103,1.433,311.048,24,19511,30.329,13.946,17,12,85,42.984,1.363,374.722,28,23505
359,11.606,103.093,1.572,14.257,101.01,3.662,4.798,3.662,5.004,2.953,144.746,0.718,5.71,101.136,125.884,144.904,3.428,1.695,0.59,0.939,163.481,37.451,135,88,253,103.009,1.484,1897.346,166,119014,43.144,15.998,52,12,72,103.271,1.478,500.729,45,31409,4.982,4.845,1,0,29,103.315,1.473,57.822,4,3627,39.835,12.02,31,17,90,103.124,1.557,462.324,38,29000
360,7.588,70.688,1.266,10.882,69.192,3.03,3.283,3.157,3.697,2.614,131.238,0.805,4.197,69.571,126.263,133.781,2.767,1.414,0.707,0.948,142.261,53.462,128,59,255,70.856,1.119,1079.543,136,67716,36.46,19.137,15,11,76,70.849,1.02,276.677,32,17355,13.794,10.604,3,0,59,70.778,0.967,104.677,11,6566,30.414,12.936,20,12,97,70.667,1.13,230.795,28,14477
361,11.032,117.262,1.246,12.976,115.151,3.03,4.293,3.157,4.28,3.282,178.441,0.823,4.448,115.783,126.641,145.408,3.157,1.304,0.767,0.962,187.525,39.956,146,93,255,117.148,1.239,2068.773,185,129767,48.978,20.179,62,12,108,117.394,1.222,540.329,50,33893,5.384,5.138,0,0,27,117.398,0.961,59.401,4,3726,32.062,12.716,25,16,82,117.287,1.197,353.71,29,22187
362,6.345,99.413,1.317,9.915,98.106,2.904,2.904,2.904,3.207,2.519,115.323,0.811,3.611,98.864,126.263,126.469,2.585,1.273,0.786,0.923,145.932,29.662,158,85,232,99.401,1.262,925.94,145,58081,51.015,25.998,70,11,109,99.52,1.222,323.691,50,20304,21.405,16.301,11,0,75,99.603,1.176,135.812,18,8519,25.975,9.917,24,11,75,99.512,1.195,164.811,24,10338
363,8.465,59.264,0.849,12.07,56.944,2.273,4.672,2.399,4.562,2.363,179.511,0.73,4.714,56.944,129.293,7.696,2.399,1.931,0.518,0.96,59.009,11.928,55,41,98,59.271,0.759,499.533,55,31334,6.989,1.872,6,4,14,59.342,0.752,59.162,7,3711,0.821,1.299,0,0,11,59.598,0.771,6.951,0,436,23.508,19.179,14,10,147,59.43,0.972,199.007,16,12483
364,6.584,95.022,0.631,11.861,92.677,1.641,5.051,1.768,4.925,1.702,179.651,0.588,5.076,92.677,128.662,174.289,1.768,2.893,0.346,0.935,49.77,3.939,48,43,65,94.974,0.615,327.692,49,20555,35.218,12.757,40,11,65,94.949,0.534,231.879,36,14545,4.891,6.058,0,0,45,95.041,0.524,32.203,3,2020,31.801,14.163,27,14,100,94.983,0.573,209.385,29,13134
365,3.746,38.647,0.556,7.76,37.121,1.515,2.904,1.641,2.924,1.631,5.512,0.782,3.001,37.121,129.293,14.621,1.641,1.793,0.558,0.955,133.311,52.385,75,69,243,38.668,0.427,499.438,118,31328,20.791,10.749,12,10,53,38.728,0.396,77.894,16,4886,3.574,3.664,1,0,27,38.898,0.507,13.391,3,840,27.498,5.95,25,18,44,38.651,0.538,103.019,26,6462
366,6.999,86.71,0.597,12.231,84.091,1.515,5.177,1.641,5.275,1.689,179.438,0.588,5.191,84.091,128.788,175.815,1.641,3.123,0.32,0.941,152.453,44.236,110,84,255,86.569,0.607,1066.964,145,66927,46.658,23.404,21,10,100,86.915,0.488,326.544,43,20483,30.251,20.519,9,1,83,86.847,0.484,211.713,27,13280,30.845,16.413,16,10,79,86.943,0.46,215.873,27,13541
367,3.396,11.924,0.382,9.971,9.722,0.884,4.545,0.884,4.879,0.886,179.097,0.429,4.573,9.722,128.662,173.66,0.884,5.506,0.182,0.938,136.643,42.277,188,74,220,11.805,0.334,463.998,132,29105,23.624,9.614,14,9,49,11.784,0.321,80.221,21,5032,2.085,2.723,0,0,15,11.606,0.268,7.078,1,444,22.3,8.315,16,11,63,12.005,0.399,75.726,21,4750
368,2.168,30.151,0.305,6.288,28.788,0.884,2.652,1.01,2.664,1.036,1.26,0.689,2.699,28.788,129.293,10.784,1.01,2.571,0.389,0.951,159.919,58.541,255,69,255,30.115,0.251,346.727,156,21749,23.853,13.681,10,9,59,29.994,0.197,51.717,19,3244,2.184,2.386,0,0,11,30.015,0.2,4.735,2,297,23.596,7.831,15,12,43,30.019,0.248,51.159,22,3209
