 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
157,24.105,120.086,83.209,25.447,118.308,89.268,3.283,10.732,10.316,2.975,87.168,0.468,10.839,947,401,81.964,3.213,3.467,0.288,0.902,158.351,47.508,255,52,255,120.005,83.179,3816.98,144,239426,64.522,30.902,28,11,141,120.183,83.327,1555.29,61,97558,11.918,10.307,2,0,63,120.177,83.633,287.279,9,18020,34.83,17.615,19,10,124,120.08,83.348,839.565,30,52663
158,18.605,127.31,85.087,18.937,125.505,89.015,3.409,7.449,7.15,3.313,76.339,0.652,7.866,1001,377,71.274,3.409,2.158,0.463,0.942,150.853,41.098,255,79,255,127.363,85.072,2806.562,141,176046,42.994,18.891,27,6,108,127.366,85.201,799.884,41,50174,9.524,9.219,3,0,70,127.518,85.558,177.182,7,11114,126.733,61.898,69,19,255,127.402,85.252,2357.805,116,147897
159,32.825,86.414,82.875,27.36,83.333,88.636,6.187,10.48,10.667,3.918,65.594,0.551,11.126,665,400,62.272,4.44,2.722,0.367,0.882,156.801,39.084,255,80,255,86.383,82.922,5147.006,152,322854,54.745,19.911,61,13,114,86.436,82.979,1797.006,54,112720,33.082,20.062,10,0,106,86.481,82.977,1085.92,30,68116,31.122,20.666,21,7,252,86.493,83.206,1021.577,26,64080
160,26.464,123.395,83.745,24.954,121.717,88.636,3.283,10.101,10.653,3.163,90.763,0.534,10.196,970,321,97.829,3.283,3.368,0.297,0.921,145.507,40.303,139,63,255,123.351,83.696,3850.697,139,241541,61.554,27.231,54,10,131,123.448,83.886,1628.975,60,102180,15.7,11.275,11,0,81,123.421,83.533,415.486,13,26062,32.277,18.024,22,7,201,123.394,83.468,854.184,28,53580
161,20.279,59.256,85.296,18.751,56.818,88.131,5.051,5.934,6.403,4.032,56.665,0.725,6.768,455,371,53.344,4.506,1.588,0.63,0.907,111.895,34.056,99,40,243,59.052,85.194,2269.071,106,142331,30.379,16.07,20,1,88,59.144,85.311,616.039,28,38642,9.362,7.768,3,0,44,59.215,85.551,189.84,7,11908,18.44,7.868,15,6,92,59.182,85.215,373.94,17,23456
162,29.366,47.698,83.671,23.758,44.823,87.5,5.808,7.449,7.77,4.812,66.059,0.654,8.091,364,389,67.036,4.981,1.615,0.619,0.895,164.38,43.514,255,69,255,47.597,83.78,4827.11,157,302788,26.035,10.574,27,5,74,47.842,83.688,764.541,26,47957,13.046,8.749,10,0,67,47.922,83.73,383.091,12,24030,32.999,15.361,20,8,118,47.925,83.778,969.031,30,60784
163,12.945,93.683,85.039,15.889,92.298,87.5,3.157,5.682,5.548,2.971,79.236,0.644,5.874,736,375,64.537,3.157,1.868,0.535,0.909,143.541,32.819,130,68,255,93.68,85.1,1858.144,139,116555,49.382,18.808,34,13,101,93.772,85.218,639.251,48,40098,13.792,10.237,7,1,59,93.76,85.266,178.537,11,11199,33.622,14.783,23,14,119,93.64,85.159,435.238,29,27301
164,26.432,77.847,82.855,22.687,75.505,87.247,4.545,8.712,8.928,3.769,76.18,0.645,9.071,609,401,73.836,4.119,2.369,0.422,0.929,127.076,31.121,124,51,248,77.801,82.666,3358.896,122,210692,42.952,21.01,61,9,120,77.935,82.788,1135.309,41,71214,9.709,7.258,5,0,59,77.959,83.018,256.622,8,16097,38.166,25.234,21,7,218,77.956,82.818,1008.807,31,63279
165,8.465,115.563,84.582,14.078,114.394,87.247,2.273,5.429,5.339,2.019,88.375,0.537,5.522,906,332,100.539,2.262,2.645,0.378,0.818,60.25,11.633,61,32,98,115.608,84.532,510.039,60,31993,11.094,3.692,9,2,26,115.565,84.556,93.916,11,5891,8.631,4.44,7,0,24,115.553,84.613,73.063,8,4583,16.774,5.494,15,7,40,115.584,84.405,141.997,16,8907
166,28.521,14.79,82.596,23.549,12.247,86.869,5.177,8.46,8.804,4.125,73.635,0.646,8.911,101,401,69.254,4.662,2.134,0.469,0.907,156.515,46.448,255,49,255,14.976,82.616,4463.899,148,280005,41.446,19.16,20,4,96,14.922,82.894,1182.067,40,74147,15.627,11.976,4,0,74,15.061,82.979,445.68,13,27956,32.35,16.652,20,8,148,14.834,82.785,922.639,29,57874
