 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
117,29.731,23.993,85.168,24.829,21.085,89.518,6.187,8.964,9.889,3.828,118.702,0.606,10.48,21.843,39.646,121.201,4.403,2.583,0.387,0.903,145.168,26.418,131,75,231,23.919,85.17,4315.978,142,270738,69.28,23.258,75,24,143,24.017,85.148,2059.773,68,129208,1.529,1.604,0,0,11,24.061,85.146,45.449,1,2851,26.106,10.153,23,7,78,24.012,85.323,776.145,24,48687
118,42.022,55.421,85.655,24.589,51.893,89.392,7.449,7.323,8.107,6.6,136.046,0.873,8.409,52.524,40.277,138.652,6.843,1.228,0.814,0.96,137.213,15.153,130,77,191,55.364,85.631,5765.955,136,361694,35.111,7.734,34,15,62,55.378,85.634,1475.436,35,92553,1.542,1.796,0,0,15,55.723,85.671,64.802,1,4065,39.622,12.556,32,12,104,55.268,85.661,1664.981,38,104443
119,33.621,66.596,85.721,24.429,63.004,89.139,6.566,8.459,8.094,5.289,111.978,0.708,8.887,63.887,40.277,112.557,5.77,1.53,0.653,0.892,163.858,30.014,151,83,240,66.59,85.701,5509.01,164,345576,53.434,14.385,47,22,108,66.718,85.641,1796.499,52,112693,1.808,1.766,0,0,13,66.5,85.686,60.801,1,3814,39.095,12.239,36,14,97,66.648,85.749,1314.395,38,82451
120,19.704,74.868,84.368,19.682,72.978,88.382,3.662,7.954,7.951,3.155,103.088,0.639,8.207,74.114,40.782,104.25,3.464,2.52,0.397,0.941,136.098,26.099,140,80,224,74.938,84.247,2681.636,135,168217,44.487,12.069,46,16,81,74.809,84.367,876.561,44,54986,1.875,1.998,0,0,19,74.775,84.432,36.952,1,2318,48.687,18.062,49,15,148,74.811,84.298,959.313,46,60177
121,26.559,12.865,84.335,21.546,9.722,88.003,5.934,7.576,8.459,3.998,121.632,0.719,8.489,11.111,41.287,120.379,4.343,2.116,0.473,0.944,147.114,19.382,149,81,212,12.898,84.325,3907.141,146,245092,38.301,8.332,34,17,64,12.808,84.276,1017.229,37,63810,1.142,1.398,0,0,11,12.984,84.107,30.321,1,1902,23.962,7.951,21,6,72,12.856,84.158,636.386,23,39920
122,10.745,18.712,84.27,14.718,16.666,87.119,3.535,5.303,5.855,2.337,66.317,0.623,5.813,16.919,46.969,55.62,2.735,2.506,0.399,0.856,138.685,35.227,124,76,254,18.564,84.053,1490.118,129,93474,53.331,14.191,47,25,102,18.692,84.208,573.018,52,35945,1.699,1.612,0,0,9,18.618,84.178,18.253,1,1145,31.663,9.074,28,13,81,18.639,84.314,340.208,30,21341
123,25.825,110.729,81.503,22.403,108.71,86.235,4.293,8.586,8.507,3.865,97.034,0.647,8.678,110.225,42.928,98.366,4.226,2.201,0.454,0.9,92.715,19.298,92,49,164,110.663,81.826,2394.402,92,150199,22.057,5.038,20,11,53,110.692,81.339,569.639,21,35733,1.448,2.322,0,0,30,110.5,81.477,37.399,1,2346,25.841,15.377,20,7,162,110.736,81.326,667.36,22,41863
124,17.695,38.784,82.37,17.605,36.363,85.604,5.05,5.934,6.605,3.411,128.25,0.717,6.875,36.615,43.56,134.256,3.75,1.936,0.516,0.918,155.158,35.315,255,81,255,38.892,82.374,2745.53,150,172225,40.15,10.143,34,15,76,38.735,82.393,710.45,39,44566,2.029,3.36,0,0,49,38.632,82.218,35.9,1,2252,30.524,11.883,27,11,96,38.733,82.422,540.131,28,33882
125,30.592,9.841,80.924,24.595,6.439,85.352,6.692,8.712,9.906,3.932,122.636,0.636,9.877,6.944,44.065,122.471,4.239,2.52,0.397,0.907,141.081,21.79,145,84,226,9.851,80.976,4315.93,140,270735,45.476,9.405,47,20,84,9.91,80.919,1391.201,45,87269,1.673,1.713,0,0,15,9.968,80.773,51.172,1,3210,34.361,9.525,32,14,85,9.935,80.72,1051.168,33,65939
126,36.076,4.452,80.224,25.334,1.01,84.594,6.818,8.586,9.616,4.777,120.555,0.706,9.861,1.263,44.696,129.806,5.139,2.013,0.497,0.931,150.81,32.968,139,77,255,4.308,80.178,5440.589,145,341284,47.355,10.525,47,22,93,4.499,80.162,1708.358,47,107164,1.916,2.229,0,0,35,4.536,80.22,69.122,1,4336,35.969,13.046,31,10,88,4.491,80.155,1297.609,34,81398
