 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
190,33.334,82.078,73.057,23.906,78.912,77.145,6.439,7.954,9.041,4.694,125.385,0.733,9.747,79.544,52.145,126.573,5.127,1.926,0.519,0.947,157.093,29.929,156,65,255,82.128,73.055,5236.489,156,328481,39.85,10.224,34,15,75,82.063,73.043,1328.344,40,83326,3.068,3.477,1,0,51,82.189,73.026,102.281,2,6416,60.06,25.345,50,17,160,82.021,72.99,2002.017,55,125585
191,25.777,43.371,73.754,19.638,40.656,76.766,5.555,6.187,6.752,4.861,121.56,0.84,6.984,40.782,52.777,130.601,5.027,1.389,0.72,0.955,143.448,26.359,131,70,229,43.251,73.744,3697.717,140,231955,42.448,13.134,47,15,86,43.36,73.757,1094.211,42,68639,2.41,4.131,0,0,63,43.504,73.293,62.124,2,3897,41.883,16.022,33,9,123,43.328,73.801,1079.64,41,67725
192,17.647,59.432,74.074,18.376,56.564,76.64,5.05,6.06,6.808,3.3,123.924,0.657,7.075,56.943,52.777,124.824,3.633,2.063,0.485,0.89,156.527,33.869,146,75,255,59.529,74.062,2762.268,154,173275,44.051,14.515,34,16,88,59.355,73.98,777.389,42,48765,4.072,3.481,1,0,21,59.18,74.035,71.864,3,4508,32.391,13.047,23,9,127,59.425,73.881,571.615,30,35857
193,18.141,4.71,73.902,15.833,2.399,76.261,4.672,4.798,5.138,4.495,50.472,0.909,5.431,3.156,57.448,54.462,4.672,1.143,0.875,0.965,61.879,9.339,55,43,90,4.792,73.923,1122.571,61,70418,23.43,5.909,20,11,49,4.877,73.84,425.049,23,26663,2.584,3.814,0,0,34,5.143,73.405,46.884,1,2941,35.393,26.088,21,6,169,5.115,73.769,642.077,26,40277
194,29.731,31.985,73.141,20.618,29.166,76.135,5.808,6.313,6.581,5.752,97.186,0.879,6.834,30.555,59.216,64.855,5.639,1.144,0.874,0.968,135.436,27.689,135,52,247,32.024,73.166,4026.639,134,252588,27.024,6.912,27,10,52,31.875,73.114,803.437,27,50399,1.976,2.242,0,0,20,32.067,73.121,58.745,1,3685,21.639,7.625,20,6,54,31.932,73.293,643.352,21,40357
195,22.191,28.684,70.258,24.01,26.262,74.998,5.177,9.217,10.314,2.739,110.685,0.484,9.872,27.272,54.165,110.985,3.199,3.765,0.266,0.81,95.267,30.366,53,43,158,28.416,70.946,2114.038,93,132612,30.612,9.565,27,12,68,28.459,70.706,679.3,28,42612,1.619,2.205,0,0,19,28.803,70.444,35.916,1,2253,22.043,14.468,19,6,194,28.562,70.278,489.15,20,30684
196,24.709,94.256,70.945,20.562,91.665,74.998,5.177,7.323,7.105,4.428,68.204,0.734,7.832,92.422,61.489,69.228,4.807,1.605,0.623,0.931,151.49,30.096,134,72,246,94.215,70.993,3743.23,146,234810,37.994,11.692,27,13,74,94.285,71.1,938.797,37,58890,2.965,3.103,0,0,36,94.226,70.948,73.251,2,4595,80.741,39.039,36,13,225,94.339,71.164,1995.05,79,125148
197,6.058,124.636,73.563,9.662,123.23,74.998,3.03,2.651,3.495,2.207,144.68,0.815,3.767,123.356,54.165,140.44,2.438,1.584,0.631,0.933,128.608,24.751,121,69,196,124.68,73.521,779.078,127,48871,27.4,5.883,26,15,52,124.596,73.595,165.983,27,10412,1.974,3.195,0,0,30,124.615,73.791,11.956,1,750,20.295,10.449,18,9,106,124.624,73.632,122.941,18,7712
198,33.892,57.87,69.012,29.319,54.923,74.872,5.555,11.111,10.704,4.032,103.236,0.495,11.866,55.176,54.292,110.556,5.083,2.655,0.377,0.802,148.456,26.539,134,70,249,57.84,69.057,5031.433,146,315618,39.443,10.288,47,14,70,57.852,68.99,1336.793,40,83856,2.341,2.627,0,0,38,58.082,68.828,79.357,2,4978,49.698,20.346,29,13,121,57.842,69.143,1684.35,49,105658
199,28.95,16.744,71.067,20.753,13.762,74.367,5.934,6.439,7.456,4.944,128.107,0.845,7.829,14.394,54.797,127.794,5.176,1.508,0.663,0.965,109.703,29.814,102,40,216,16.915,71.077,3175.871,108,199220,21.73,5.461,20,6,42,16.701,71.098,629.069,21,39461,1.599,2.136,0,0,25,16.454,71.292,46.294,1,2904,13.59,7.453,10,3,78,16.733,71.185,393.437,12,24680
