 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
369,6.6,110.023,10.876,9.441,108.586,12.247,2.778,2.904,3.068,2.739,122.73,0.931,3.258,108.965,117.045,125.538,2.778,1.12,0.893,0.952,80.725,18.419,71,41,129,110.061,10.832,532.789,79,33420,21.901,9.522,20,8,56,109.978,10.983,144.548,20,9067,1.635,1.832,0,0,13,109.989,11.061,10.793,1,677,22.42,17.835,13,6,156,110.096,10.938,147.976,17,9282
370,30.912,101.134,8.255,23.062,97.475,11.616,7.828,6.439,8.941,4.402,146.792,0.73,8.94,97.601,118.308,143.616,4.701,2.031,0.492,0.939,142.727,40.046,114,58,255,101.127,8.375,4411.975,136,276748,54.445,31.117,54,4,182,101.049,8.561,1682.987,54,105568,2.757,3.371,0,0,28,101.061,8.634,85.211,2,5345,22.551,11.06,12,6,68,101.097,8.403,697.089,21,43726
371,10.538,42.889,9.401,13.721,40.53,11.111,5.051,3.03,5.275,2.544,157.974,0.703,5.764,40.53,118.182,151.189,2.885,2.074,0.482,0.941,90.508,23.141,69,47,167,42.906,9.318,953.759,86,59826,21.286,8.502,13,3,44,42.82,9.457,224.307,21,14070,7.172,4.658,5,0,25,42.753,9.492,75.582,6,4741,30.399,16.148,18,4,113,42.942,9.398,320.343,26,20094
372,16.628,7.134,8.275,17.397,4.419,10.985,5.808,4.924,6.935,3.053,144.956,0.69,7.121,4.545,118.434,142.927,3.356,2.272,0.44,0.923,111.056,22.826,95,56,204,7.154,8.222,1846.602,107,115831,53.547,35.974,61,6,178,7.03,8.462,890.357,47,55849,4.673,4.931,0,0,42,7.392,8.307,77.702,3,4874,26.335,14.7,17,8,118,7.152,8.329,437.885,22,27467
373,9.996,68.392,9.441,11.923,66.414,10.985,3.914,3.157,4.082,3.118,16.739,0.884,4.203,66.54,120.581,32.735,3.155,1.309,0.764,0.959,69.199,25.711,57,26,167,68.394,9.377,691.701,64,43388,17.654,8.537,13,2,51,68.439,9.434,176.464,16,11069,1.845,3.243,0,0,39,68.579,9.5,18.445,1,1157,20.695,13.028,13,6,118,68.453,9.491,206.866,17,12976
374,17.281,114.094,7.735,16.848,111.742,10.859,4.672,5.808,6.484,3.393,124.008,0.765,6.562,112.879,118.308,120.018,3.473,1.911,0.523,0.937,122.065,32.23,117,60,255,114.159,7.672,2109.457,117,132319,39.164,20.605,20,5,98,114.214,7.704,676.811,34,42454,7.008,6.291,3,0,36,114.224,7.753,121.113,5,7597,17.104,9.47,14,5,78,114.019,7.649,295.585,15,18541
375,18.7,62.459,6.996,19.57,59.343,10.101,6.187,6.187,8.405,2.833,134.629,0.614,8.222,59.848,119.192,132.51,2.99,2.967,0.337,0.909,61.859,16.72,58,30,110,62.189,7.23,1156.783,61,72561,7.9,3.716,6,0,34,62.002,7.468,147.736,7,9267,0.679,1.112,0,0,9,61.859,7.582,12.706,0,797,12.111,4.697,10,3,36,62.219,7.244,226.475,11,14206
376,3.523,128.685,7.805,9.275,127.904,9.848,1.263,4.04,3.747,1.197,89.197,0.515,4.058,128.788,119.318,95.356,1.263,3.13,0.319,0.923,133.258,32.645,123,62,218,128.701,7.802,469.498,137,29450,39.023,25.132,18,6,110,128.811,7.866,137.486,32,8624,1.371,2.221,0,0,16,128.867,7.748,4.83,1,303,23.452,10.65,20,6,58,128.745,7.844,82.628,21,5183
377,30.513,51.972,5.438,21.621,48.737,8.965,6.566,6.944,7.939,4.893,133.245,0.82,8.058,49.747,120.328,125.433,5.03,1.622,0.616,0.953,147.775,37.208,123,66,252,51.985,5.423,4509.111,142,282841,66.157,32.569,89,4,158,51.984,5.686,2018.666,70,126624,5.271,5.717,0,0,47,52.037,5.781,160.841,4,10089,40.042,19.666,29,9,131,52.093,5.477,1221.827,36,76641
378,14.794,13.692,6.185,15.167,11.111,8.46,5.177,4.293,5.388,3.496,151.984,0.808,5.604,11.111,121.97,157.479,3.691,1.541,0.649,0.931,100.394,26.778,103,35,193,13.758,6.14,1485.272,103,93166,35.153,18.638,20,5,84,13.823,6.144,520.067,32,32622,3.472,4.069,0,0,33,13.911,6.109,51.366,2,3222,28.425,10.955,19,10,71,13.774,6.172,420.524,27,26378
